Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
maven,org.apache.maven.api,Session,unregisterListener,0,1,1,169,0,,
maven,org.apache.maven.api,Session,getListeners,0,1,0,177,0,,
maven,org.apache.maven.api,Session,createLocalRepository,0,1,1,185,0,,
maven,org.apache.maven.api,Session,createRemoteRepository,0,1,2,191,0,,
maven,org.apache.maven.api,Session,createRemoteRepository,0,1,1,198,0,,
maven,org.apache.maven.api,Session,createArtifactCoordinate,0,1,4,205,0,,
maven,org.apache.maven.api,Session,createArtifactCoordinate,0,1,6,211,0,,
maven,org.apache.maven.api,Session,createArtifactCoordinate,0,1,1,218,0,,
maven,org.apache.maven.api,Session,createDependencyCoordinate,0,1,1,224,0,,
maven,org.apache.maven.api,Session,createArtifact,0,1,4,231,0,,
maven,org.apache.maven.api,Session,createArtifact,0,1,6,237,0,,
maven,org.apache.maven.api,Session,resolveArtifact,0,1,1,244,0,,
maven,org.apache.maven.api,Session,resolveArtifacts,0,1,1,252,0,,
maven,org.apache.maven.api,Session,resolveArtifacts,0,1,1,260,0,,
maven,org.apache.maven.api,Session,resolveArtifact,0,1,1,268,0,,
maven,org.apache.maven.api,Session,resolveArtifacts,0,1,1,276,0,,
maven,org.apache.maven.api,Session,installArtifacts,0,1,1,284,0,,
maven,org.apache.maven.api,Session,installArtifacts,0,1,1,292,0,,
maven,org.apache.maven.api,Session,deployArtifact,0,1,2,300,0,,
maven,org.apache.maven.api,Session,setArtifactPath,0,1,2,308,0,,
maven,org.apache.maven.api,Session,getArtifactPath,0,1,1,314,0,,
maven,org.apache.maven.api,Session,isVersionSnapshot,0,1,1,321,0,,
maven,org.apache.maven.api,Session,collectDependencies,0,1,1,327,0,,
maven,org.apache.maven.api,Session,collectDependencies,0,1,1,336,0,,
maven,org.apache.maven.api,Session,collectDependencies,0,1,1,345,0,,
maven,org.apache.maven.api,Session,getPathForLocalArtifact,0,1,1,354,0,,
maven,org.apache.maven.api,Session,getPathForRemoteArtifact,0,1,2,356,0,,
maven,org.apache.maven.api,Session,parseVersion,0,1,1,358,0,,
maven,org.apache.maven.api,Session,parseVersionRange,0,1,1,367,0,,
maven,org.apache.maven.api,SessionData,set,0,1,2,46,0,,
maven,org.apache.maven.api,SessionData,set,0,1,3,54,0,,
maven,org.apache.maven.api,SessionData,get,0,1,1,66,0,,
maven,org.apache.maven.api,SessionData,computeIfAbsent,0,1,2,75,0,,
maven,org.apache.maven.api,Toolchain,getType,0,1,0,32,0,,
maven,org.apache.maven.api,Toolchain,findTool,0,1,1,39,0,,
maven,org.apache.maven.api,Toolchain,matchesRequirements,0,1,1,47,0,,
maven,org.apache.maven.api,Type,getId,0,1,0,50,0,,
maven,org.apache.maven.api,Type,getExtension,0,1,0,58,0,,
maven,org.apache.maven.api,Type,getClassifier,0,1,0,65,0,,
maven,org.apache.maven.api,Type,isAddedToClasspath,0,1,0,74,0,,
maven,org.apache.maven.api,Type,isIncludesDependencies,0,1,0,82,0,,
maven,org.apache.maven.api,Version,asString,0,1,0,36,0,,
maven,org.apache.maven.api,VersionRange,contains,0,1,1,34,0,,
maven,org.apache.maven.api,VersionRange,asString,0,1,0,42,0,,
maven,org.apache.maven.api.feature,Features,Features,2,1,0,40,0,,
maven,org.apache.maven.api.feature,Features,buildConsumer,3,1,1,42,0,org.apache.maven.api.feature.Features,org.apache.maven.api.feature.Features
maven,org.apache.maven.api.feature,Features,buildConsumer,3,1,1,49,0,,
maven,org.apache.maven.api.feature,Features,buildConsumer,3,1,1,56,0,org.apache.maven.api.feature.Features,org.apache.maven.api.feature.Features
maven,org.apache.maven.api.feature,Features,doGet,3,1,3,63,0,org.apache.maven.api.feature.Features,org.apache.maven.api.feature.Features
maven,org.apache.maven.api.feature,Features,doGet,3,1,3,67,0,org.apache.maven.api.feature.Features,org.apache.maven.api.feature.Features
maven,org.apache.maven.api.feature,Features,doGet,11,3,2,71,0,,
maven,org.apache.maven.api.plugin,Log,isDebugEnabled,0,1,0,34,0,,
maven,org.apache.maven.api.plugin,Log,debug,0,1,1,39,0,,
maven,org.apache.maven.api.plugin,Log,debug,0,1,2,46,0,,
maven,org.apache.maven.api.plugin,Log,debug,0,1,1,55,0,,
maven,org.apache.maven.api.plugin,Log,debug,0,1,1,63,0,,
maven,org.apache.maven.api.plugin,Log,debug,0,1,2,65,0,,
maven,org.apache.maven.api.plugin,Log,isInfoEnabled,0,1,0,67,0,,
maven,org.apache.maven.api.plugin,Log,info,0,1,1,72,0,,
maven,org.apache.maven.api.plugin,Log,info,0,1,2,79,0,,
maven,org.apache.maven.api.plugin,Log,info,0,1,1,88,0,,
maven,org.apache.maven.api.plugin,Log,info,0,1,1,96,0,,
maven,org.apache.maven.api.plugin,Log,info,0,1,2,98,0,,
maven,org.apache.maven.api.plugin,Log,isWarnEnabled,0,1,0,100,0,,
maven,org.apache.maven.api.plugin,Log,warn,0,1,1,105,0,,
maven,org.apache.maven.api.plugin,Log,warn,0,1,2,112,0,,
maven,org.apache.maven.api.plugin,Log,warn,0,1,1,121,0,,
maven,org.apache.maven.api.plugin,Log,warn,0,1,1,129,0,,
maven,org.apache.maven.api.plugin,Log,warn,0,1,2,131,0,,
maven,org.apache.maven.api.plugin,Log,isErrorEnabled,0,1,0,133,0,,
maven,org.apache.maven.api.plugin,Log,error,0,1,1,138,0,,
maven,org.apache.maven.api.plugin,Log,error,0,1,2,145,0,,
maven,org.apache.maven.api.plugin,Log,error,0,1,1,154,0,,
maven,org.apache.maven.api.plugin,Log,error,0,1,1,162,0,,
maven,org.apache.maven.api.plugin,Log,error,0,1,2,164,0,,
maven,org.apache.maven.api.plugin,Mojo,execute,0,1,0,36,0,,
maven,org.apache.maven.api.plugin,MojoException,MojoException,5,1,3,36,0,,
maven,org.apache.maven.api.plugin,MojoException,MojoException,3,1,2,46,0,,
maven,org.apache.maven.api.plugin,MojoException,MojoException,3,1,1,54,0,,
maven,org.apache.maven.api.plugin,MojoException,MojoException,3,1,1,61,0,,
maven,org.apache.maven.api.plugin,MojoException,getLongMessage,3,1,0,71,0,,
maven,org.apache.maven.api.plugin,MojoException,getSource,3,1,0,75,0,,
maven,org.apache.maven.api.services,ArtifactCoordinateFactory,create,0,1,1,36,0,,
maven,org.apache.maven.api.services,ArtifactCoordinateFactory,create,3,1,5,46,0,org.apache.maven.api.services.ArtifactCoordinateFactory,org.apache.maven.api.services.ArtifactCoordinateFactory
maven,org.apache.maven.api.services,ArtifactCoordinateFactory,create,3,1,7,52,0,org.apache.maven.api.services.ArtifactCoordinateFactory,org.apache.maven.api.services.ArtifactCoordinateFactory
maven,org.apache.maven.api.services,ArtifactCoordinateFactory,create,3,1,2,65,0,org.apache.maven.api.services.ArtifactCoordinateFactory,org.apache.maven.api.services.ArtifactCoordinateFactory
maven,org.apache.maven.api.services,ArtifactCoordinateFactoryRequest,getSession,0,1,0,39,0,,
maven,org.apache.maven.api.services,ArtifactCoordinateFactoryRequest,getGroupId,0,1,0,42,0,,
maven,org.apache.maven.api.services,ArtifactCoordinateFactoryRequest,getArtifactId,0,1,0,44,0,,
maven,org.apache.maven.api.services,ArtifactCoordinateFactoryRequest,getVersion,0,1,0,46,0,,
maven,org.apache.maven.api.services,ArtifactCoordinateFactoryRequest,getClassifier,0,1,0,48,0,,
maven,org.apache.maven.api.services,ArtifactCoordinateFactoryRequest,getExtension,0,1,0,50,0,,
maven,org.apache.maven.api.services,ArtifactCoordinateFactoryRequest,getType,0,1,0,52,0,,
maven,org.apache.maven.api.services,ArtifactCoordinateFactoryRequest,build,3,1,5,54,0,org.apache.maven.api.services.ArtifactCoordinateFactoryRequest,org.apache.maven.api.services.ArtifactCoordinateFactoryRequest
maven,org.apache.maven.api.services,ArtifactCoordinateFactoryRequest,build,3,1,7,66,0,org.apache.maven.api.services.ArtifactCoordinateFactoryRequest,org.apache.maven.api.services.ArtifactCoordinateFactoryRequest
maven,org.apache.maven.api.services,ArtifactCoordinateFactoryRequest,build,3,1,2,86,0,org.apache.maven.api.services.ArtifactCoordinateFactoryRequest,org.apache.maven.api.services.ArtifactCoordinateFactoryRequest
maven,org.apache.maven.api.services,ArtifactCoordinateFactoryRequest,builder,3,1,0,98,0,,
maven,org.apache.maven.api.services,ArtifactDeployer,deploy,0,1,1,39,0,,
maven,org.apache.maven.api.services,ArtifactDeployer,deploy,3,1,3,45,0,org.apache.maven.api.services.ArtifactDeployer,org.apache.maven.api.services.ArtifactDeployer
maven,org.apache.maven.api.services,ArtifactDeployerException,ArtifactDeployerException,3,1,2,36,0,,
maven,org.apache.maven.api.services,ArtifactDeployerRequest,getSession,0,1,0,41,0,,
maven,org.apache.maven.api.services,ArtifactDeployerRequest,getRepository,0,1,0,44,0,,
maven,org.apache.maven.api.services,ArtifactDeployerRequest,getArtifacts,0,1,0,47,0,,
maven,org.apache.maven.api.services,ArtifactDeployerRequest,getRetryFailedDeploymentCount,0,1,0,50,0,,
maven,org.apache.maven.api.services,ArtifactDeployerRequest,builder,3,1,0,52,0,,
maven,org.apache.maven.api.services,ArtifactDeployerRequest,build,3,1,3,57,0,org.apache.maven.api.services.ArtifactDeployerRequest,org.apache.maven.api.services.ArtifactDeployerRequest
maven,org.apache.maven.api.services,ArtifactFactory,create,0,1,1,35,0,,
maven,org.apache.maven.api.services,ArtifactFactory,create,3,1,5,45,0,org.apache.maven.api.services.ArtifactFactory,org.apache.maven.api.services.ArtifactFactory
maven,org.apache.maven.api.services,ArtifactFactory,create,3,1,7,51,0,org.apache.maven.api.services.ArtifactFactory,org.apache.maven.api.services.ArtifactFactory
maven,org.apache.maven.api.services,ArtifactFactoryRequest,getSession,0,1,0,38,0,,
maven,org.apache.maven.api.services,ArtifactFactoryRequest,getGroupId,0,1,0,41,0,,
maven,org.apache.maven.api.services,ArtifactFactoryRequest,getArtifactId,0,1,0,43,0,,
maven,org.apache.maven.api.services,ArtifactFactoryRequest,getVersion,0,1,0,45,0,,
maven,org.apache.maven.api.services,ArtifactFactoryRequest,getClassifier,0,1,0,47,0,,
maven,org.apache.maven.api.services,ArtifactFactoryRequest,getExtension,0,1,0,49,0,,
maven,org.apache.maven.api.services,ArtifactFactoryRequest,getType,0,1,0,51,0,,
maven,org.apache.maven.api.services,ArtifactFactoryRequest,build,3,1,5,53,0,org.apache.maven.api.services.ArtifactFactoryRequest,org.apache.maven.api.services.ArtifactFactoryRequest
