Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
maven,org.apache.maven.api.services,SettingsBuilderException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,SettingsBuilderException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): MavenException
maven,org.apache.maven.api.services,SettingsBuilderRequest.SettingsBuilderRequestBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,SettingsBuilderRequest.SettingsBuilderRequestBuilder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: session; globalSettingsPath; globalSettingsSource; projectSettingsPath; projectSettingsSource; userSettingsPath; userSettingsSource; globalSettingsPath; globalSettingsSource; projectSettingsPath; projectSettingsSource; userSettingsPath; userSettingsSource
maven,org.apache.maven.api.services,SettingsBuilderRequest.DefaultSettingsBuilderRequest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,SettingsBuilderRequest.DefaultSettingsBuilderRequest,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: globalSettingsPath; globalSettingsSource; projectSettingsPath; projectSettingsSource; userSettingsPath; userSettingsSource
maven,org.apache.maven.api.services,SuperPomProvider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,ToolchainFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,ToolchainManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,ToolchainManagerException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): MavenException
maven,org.apache.maven.api.services,ToolchainsBuilderException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,ToolchainsBuilderException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): MavenException
maven,org.apache.maven.api.services,ToolchainsBuilderRequest.ToolchainsBuilderRequestBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,ToolchainsBuilderRequest.ToolchainsBuilderRequestBuilder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: session; globalToolchainsPath; globalToolchainsSource; userToolchainsPath; userToolchainsSource; globalToolchainsPath; globalToolchainsSource; userToolchainsPath; userToolchainsSource
maven,org.apache.maven.api.services,ToolchainsBuilderRequest.DefaultToolchainsBuilderRequest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: globalToolchainsPath; globalToolchainsSource; userToolchainsPath; userToolchainsSource
